鳥種名稱,數量,樣點數,科名
紅嘴黑鵯,"<bound method Series.sum of 0       3
7       1
16      1
41      1
47      3
60      2
153     2
158     1
181     2
211     2
239     1
260     4
277     1
284     1
296     1
412     2
419     4
424     2
457     2
464     1
471     1
477     2
507     2
572     2
573     2
576     1
583     1
637     2
672     2
774     1
783     1
795     2
820     1
849     1
857     1
862     1
906     2
947     1
956     1
962     2
977     1
1029    1
1062    2
1119    1
1156    3
1171    3
1229    2
1369    1
Name: 數量, dtype: int64>",6,
台灣藍鵲,"<bound method Series.sum of 1    1
Name: 數量, dtype: int64>",1,
白頭翁,"<bound method Series.sum of 2       2
12      4
21      2
26      4
40      1
       ..
1353    1
1358    1
1359    1
1361    1
1371    2
Name: 數量, Length: 325, dtype: int64>",6,
白尾八哥,"<bound method Series.sum of 3       5
23      1
24      3
30      3
34      3
       ..
1305    1
1308    1
1310    1
1323    1
1345    1
Name: 數量, Length: 123, dtype: int64>",6,
鵲鴝,"<bound method Series.sum of 4       1
53      1
129     1
132     1
140     1
230     1
248     1
255     1
264     1
326     1
352     1
361     1
364     1
378     1
416     1
429     1
438     2
474     1
547     1
555     1
558     1
615     1
750     1
806     1
807     1
809     1
814     1
827     1
843     1
942     1
957     1
1069    1
1094    2
1122    1
1126    1
1128    1
1298    1
Name: 數量, dtype: int64>",5,
斯氏繡眼,"<bound method Series.sum of 5       5
28      2
58      2
78      1
116     2
130     7
144     2
246     3
249     1
250     1
252     3
253     2
272     1
291     1
302     2
304     1
342     1
343     2
346     1
348     1
349     1
350     2
351     1
353     1
354     2
469     2
478     5
550     1
726     1
760     1
773     2
782     2
835     1
856     1
924     1
934     1
937     1
1013    1
1014    2
1255    2
1270    1
1296    1
Name: 數量, dtype: int64>",6,
五色鳥,"<bound method Series.sum of 6       4
38      2
54      1
56      2
92      3
       ..
1264    1
1281    1
1288    1
1304    1
1366    1
Name: 數量, Length: 61, dtype: int64>",6,
紅尾伯勞,"<bound method Series.sum of 8    1
Name: 數量, dtype: int64>",1,
喜鵲,"<bound method Series.sum of 9       1
19      3
76      1
89      1
115     1
120     1
122     1
124     2
172     1
179     3
201     1
227     1
247     2
275     1
328     1
345     2
357     1
385     1
428     1
461     1
595     2
607     1
645     1
655     1
698     1
700     1
712     1
752     2
769     2
802     3
810     2
830     2
833     1
846     2
896     1
898     1
1019    1
1085    1
1093    1
1163    3
1217    2
1265    1
1293    1
1335    3
Name: 數量, dtype: int64>",6,
黑領椋鳥,"<bound method Series.sum of 10      2
13      1
25      2
43      1
48      1
       ..
1196    1
1257    2
1262    1
1268    3
1292    3
Name: 數量, Length: 77, dtype: int64>",6,
洋燕,"<bound method Series.sum of 11      1
232     1
497     2
508     2
621     1
626     2
631     1
746     1
995     1
1004    1
1024    2
1025    1
1042    1
1134    1
1168    1
1351    1
Name: 數量, dtype: int64>",6,
金背鳩,"<bound method Series.sum of 14      1
27      3
36      1
70      1
82      1
       ..
1340    1
1343    2
1363    1
1365    1
1367    1
Name: 數量, Length: 87, dtype: int64>",6,
黑冠麻鷺,"<bound method Series.sum of 15      1
35      1
83      1
114     1
141     1
164     1
449     2
664     1
721     1
765     1
787     1
828     1
954     1
1021    2
1142    1
1272    1
Name: 數量, dtype: int64>",5,
野鴿,"<bound method Series.sum of 17      20
33      12
39       5
52       1
59      10
61       2
65       4
66       5
88       6
101      1
105      1
109     13
166      3
175      2
176     10
182      7
186      5
195     10
209      1
278      1
294      1
295     10
418      1
432      5
451      1
452      1
487      2
490      1
492      2
494      2
504      2
512      1
522      1
590      1
593      1
599      1
713      1
735      1
741      1
757      2
784      1
850      5
902      1
915      1
982      3
987      1
990      1
1034     1
1036     1
1147     1
1155     2
Name: 數量, dtype: int64>",6,
家燕,"<bound method Series.sum of 18      1
131     1
151     1
161     4
256     1
       ..
1320    1
1347    1
1348    1
1355    1
1364    3
Name: 數量, Length: 97, dtype: int64>",5,
灰鶺鴒,"<bound method Series.sum of 20    1
Name: 數量, dtype: int64>",1,
麻雀,"<bound method Series.sum of 22       3
46       7
73       1
93       2
95       6
        ..
1312     1
1334    13
1341     1
1344     1
1362     2
Name: 數量, Length: 129, dtype: int64>",6,
白腰文鳥,"<bound method Series.sum of 29    20
Name: 數量, dtype: int64>",1,
翠鳥,"<bound method Series.sum of 31      1
97      1
453     1
689     1
742     1
1043    1
1047    1
Name: 數量, dtype: int64>",3,
夜鷺,"<bound method Series.sum of 32      4
55      1
62      1
67      1
77      1
99      1
185     1
189     1
208     1
439     1
459     1
475     1
613     1
649     1
660     1
666     1
796     1
870     1
905     2
997     2
1000    1
1022    3
1041    1
1046    1
1055    1
1078    1
1133    1
1178    1
1181    1
1316    1
1350    1
Name: 數量, dtype: int64>",5,
綠鳩,"<bound method Series.sum of 37      1
1318    2
Name: 數量, dtype: int64>",2,
XX八哥,"<bound method Series.sum of 63      2
174     1
513     2
519     1
533     1
535     1
941     1
1048    1
1170    1
1197    1
1208    1
1232    1
1280    2
1333    1
1337    8
1354    2
1368    2
1370    1
Name: 數量, dtype: int64>",6,
XX鳩鴿,"<bound method Series.sum of 74      1
79      1
119     2
167     1
169     2
170     1
226     2
268     1
539     2
629     1
705     1
785     1
804     1
1031    1
1169    2
1209    1
1273    2
1342    1
Name: 數量, dtype: int64>",4,
大卷尾,"<bound method Series.sum of 75      1
135     1
229     1
301     1
303     1
317     1
824     1
1206    1
Name: 數量, dtype: int64>",5,
紅冠水雞,"<bound method Series.sum of 84      1
100     1
106     1
184     3
187     1
194     1
207     2
313     2
447     2
1159    1
1189    1
1244    1
Name: 數量, dtype: int64>",2,
黃頭鶺鴒,"<bound method Series.sum of 87    1
Name: 數量, dtype: int64>",1,
珠頸斑鳩,"<bound method Series.sum of 149    1
Name: 數量, dtype: int64>",1,
紅鳩,"<bound method Series.sum of 171    1
Name: 數量, dtype: int64>",1,
XX燕,"<bound method Series.sum of 190     1
202     1
460     2
486     2
623     2
663     1
916     1
920     1
1191    1
1202    1
1230    1
1233    1
1242    1
1245    3
Name: 數量, dtype: int64>",4,
白腹秧雞,"<bound method Series.sum of 191     1
216     1
315     1
411     1
431     1
1185    1
1356    1
Name: 數量, dtype: int64>",2,
家八哥,"<bound method Series.sum of 219     5
221     1
392     1
395     1
462     2
480     3
500     1
725     1
819     1
861     1
936     2
994     2
1052    1
1059    1
1064    1
1137    1
1150    1
1260    1
1324    3
1349    4
1352    7
1357    1
Name: 數量, dtype: int64>",4,
綠繡眼,"<bound method Series.sum of 224     2
242     2
377     1
383     1
408     1
489     2
491     1
501     1
503     1
509     1
638     2
650     1
651     2
702     2
767     2
768     1
776     1
948     1
1098    2
1107    1
1123    2
1259    1
1360    3
Name: 數量, dtype: int64>",5,
樹鵲,"<bound method Series.sum of 244     1
251     1
258     1
333     1
336     8
347     1
483     1
526     1
571     1
574     1
604     1
743     1
753     2
754     1
762     1
831     2
921     1
926     1
1074    1
1089    1
1097    2
1132    1
1153    1
1291    1
1314    1
Name: 數量, dtype: int64>",5,
XX鷺,"<bound method Series.sum of 270     1
707     1
714     1
727     1
734     1
1051    1
1283    2
1328    1
Name: 數量, dtype: int64>",4,
八哥,"<bound method Series.sum of 286    2
Name: 數量, dtype: int64>",1,
黃鸝,"<bound method Series.sum of 839     1
1017    1
Name: 數量, dtype: int64>",2,
xx鷺,"<bound method Series.sum of 1081    1
1110    1
1112    1
Name: 數量, dtype: int64>",2,
黃頭鷺,"<bound method Series.sum of 1125    1
1205    1
Name: 數量, dtype: int64>",2,
斑文鳥,"<bound method Series.sum of 1162    1
Name: 數量, dtype: int64>",1,
xx燕,"<bound method Series.sum of 1236    1
Name: 數量, dtype: int64>",1,
